id,route_name,first_ascent,description,location,protection,YDS,parent_sector,left_right_seq,mp_route_id,mp_sector_id,longitude,latitude
e2b01580-86c7-4ae8-8520-5140df5f0f2f,A-Wall,unknown,Vertical hand crack right of the diagonal crack Lefty and Poncho.  The crack disappears two thirds of the way up.  Continue on slopers and pockets to top.,,"SR, mostly hand size.  Upper head wall is not able to be protected.",5.10a,Drive In Wall,1,106956228,106947227,-91.5625,42.614
aca7bc14-f0b4-4954-9e39-7c5cc9808297,Hot Stuff,"Joe Feldman, 2019",Start right hand jug sidepull in the crack and opposing left hand jug.  Hug your way to the end of the roof and pull the bulge to the topout.,Hot Stuff Camp Roof,Pad,V3-,Hot Stuff Camp Roof,0,117944498,117944427,-91.5615,42.6154
196ab5e6-270d-4488-be11-fb4a8ec36c48,Waldo’s Scramble,unknown,"Fun little scramble up the sloped side. Same start as “Hidden in Plain Sight”. Mantle the micro boulder, head to the right, over the crack, use the mini jugs/crimps to work your way up. Top out on top of the boulder. Stand tall and enjoy the view!",,"Crash pads for best practice, but a spotter should be fine.",V-easy,Waldo's Rock Park,999999,118669198,118170033,-91.54207,42.02717
9bde2574-d0ae-493f-a7c8-b8989cf38782,Waldo went to Yosemite,unknown,Stand Start on the obvious side pulling jugs. Climb the face. Don't fall on your face.,,Pads. Landings are nice,V1,Waldo's Rock Park,999999,118182663,118170033,-91.54207,42.02717
b52dd41e-5b90-4c01-a4ad-249e15ce4cad,Hidden in plain sight,unknown,"Fierce microboulder. Sit start on the obvious jug on the detached block. Stay low to and work along the lip. Once you get to the horn, top er' out. The most fun you can have two feet off the ground.",Lip of the detached block next to the main boulder.,Pad,V1,Waldo's Rock Park,999999,118182843,118170033,-91.54207,42.02717
d325a226-9070-4206-8bc4-078d0d03eca7,He's just around the coroner,Jamie D.,Short and powerful movement up the aerete. The opposing detached block is off.,Squat/stand start on two obvious crimps on the knifes edge,Pad,V3,Waldo's Rock Park,999999,118191513,118170033,-91.54207,42.02717
2b9ff722-9a73-4ccb-856c-aa781e3f7aa2,Erratic behavior,Jamie D,"A kid on top of the boulder informed me that ""its much easier to get on top from the other side"".",,Pad,V3,Waldo's Rock Park,999999,118191733,118170033,-91.54207,42.02717
e0c57482-a883-40c4-9532-4fb8fcf06ed6,Monkey Spank Mayhem,unknown,Opening dyno followed by more long moves.,"#3rd route on the left, to the right of Fat Chicks.","5 bolts, rap hangers.",5.12a,Windy Point,1,106088385,106087984,-91.09831,42.21813
6d3cddca-0007-440b-938f-428bc08fee54,Lesbian Knife Fight,unknown,An easy 5.6 section to the left of a chossy arete leads you to a bulge and some hidden holds.,To the right of Monkey Spank.,"bolts, anchor.",5.11d,Windy Point,4,106088390,106087984,-91.09831,42.21813
5c5133fa-906e-494d-93b3-d68804e320ff,The Spice Must Flow,Joe Stark,"Sit start below and left of the steep prow. Left hand is a flat jug, right hand is a two finger pocket. Move up and right to tackle the steepest part of the prow. Campus or heel hook to gain the upper slab. Sick movement on gorgeous stone.","Left-most, steep prow.",Pads and a spotter.,V2,"Waystation, The",0,112329147,112329139,-91.10119,42.21523
0a86a1ca-5e4f-4aa3-8697-a486d32f6344,Push The Bush,M. Black,Right side of boulder. Starts as low as possible on a slot and a flat jug. Moves to two finger pockets out right and then pulls the bulge on great holds . The crux on this one is keeping your hips in and not dabbing on anything. Dab anything and you blow your send.,,Pads,V2,"Waystation, The",1,112905072,112329139,-91.10119,42.21523
05614e23-efb1-4142-8561-fb5e1b5a7c9a,Transparent,Troy Davison,Technical and strength route. Start on small hold to a two figure pocket. Then to a left hand ledge. Go up to good pockets. Have fun.,Farthest right on T wall.,Fixed biners at the anchors.,5.12b/c,T-Wall,2,118092087,113222957,-91.10334,42.2079
c20db9a1-89d1-4786-9b5e-780227ca5cdb,Sneaky D.L. Fingers on the Hush Hush,James Edge,"The crux is right off the ground. The first move is probably the hardest. The next 3 are still hard but become sequentially easier. The first few holds are wet, so bring a rag to dry them off. The route becomes significantly easier from there on up.",This is the left most route on the T Wall.,"I would highly recommend clipping at least the first 2 bolts before trying the route. It's an easy repel down, or you can stick clip them.",5.12a,T-Wall,0,113222977,113222957,-91.10334,42.2079
cad9b6d4-7095-4424-a23d-f0117e1d9c9d,Jimmy Edge,unknown,"I couldn't find a definitive crux. I think this route offers some pretty amazing movement. Movement that I've never gotten the opportunity to do on any other route in Iowa. I also really enjoyed this route because I felt that it is not too strenuous on the fingers, but it requires full body engagement the whole way through. Thank you Troy Davison for taking the time to bolt this amazing line!",The route is the middle of the three routes on the T-Wall. The start is on the left of the bolt line.,"This route requires 5 bolts and the anchors. I recommend clipping the first 2 bolts to keep it safe and fun, as the landing could be bad if you don't. I also suggest brining a friend along who offers their full support. Thanks, James!",5.12d,T-Wall,1,113711237,113222957,-91.10334,42.2079
8e4fdf98-b747-4b0b-9775-0d4d0932ae98,Monster Crack,unknown,,,Trees near the top you can sling for anchors.,5.10c,Backbone West,999999,112062265,106956359,-91.5625,42.614
9768f5e0-97df-4829-b144-80292223b94c,Devil's Hideaway,unknown,25 feet right of Monster Crack. Climb the hand crack up to the large roof. Go left through the roof and the hold all but disapear.,Follow The Backbone Trail down to the west side and loop back to the bend in the river. There are several steep short cuts for a more adventurous trip to the bottom.,Set top rope anchors from two trees directly above the route,5.11b,Backbone West,999999,107717918,106956359,-91.5625,42.614
7465df40-6982-4625-bdd2-f1e718dc7727,Wild Iowa,unknown,"lots of bad 2 finger pockets, the grade can be disputed.",1st route on the left.,"3 bolts, rap hangers.",5.11b,Wild Iowa Wall,0,106087200,106087032,-91.10185,42.20952
3e6e68a8-70ab-4e4e-8411-25c65f79edc3,Virgin Lemonade,unknown,"somewhat polished, grade is more consistant than Atropine",Left of atropine,"3 bolts, rap hangers",5.10a,Wild Iowa Wall,9,106087040,106087032,-91.10185,42.20952
25c81b71-2e9d-49b1-860d-70eeadf7bec8,Territorial Pissings,unknown,"From my observations, the difficulty of this climb is more consistent than Soul.",Route to the left of Soul Ignition.,"4 bolts, rap hangers.",5.12a,Wild Iowa Wall,2,106087191,106087032,-91.10185,42.20952
7ea10ba5-3863-43c0-8ef8-0489d5bd83d3,Soul Ignition,unknown,Has one really tough move,One route left of Bird in Hand.,"4 bolts, rap hangers",5.12a,Wild Iowa Wall,3,106087186,106087032,-91.10185,42.20952
7c18d24c-374f-4777-b888-9f9d2be320a6,Peek-a-boo,unknown,"Pulling through the first few moves felt the toughest, after that it's a really nice jug haul that flowed up the wall on bomber limestone. I can't believe this doesn't have bolts on it and the two routes on the far left do...",Just right of the crack to the right of Atropine. Finishes right of the dark blue and gold streak.,This is a toprope route. There are two good sized trees up top to build your anchors off.,5.9,Wild Iowa Wall,12,107726027,106087032,-91.10185,42.20952
afabe1e0-7bfe-436c-b064-f26a2e02794a,Kiss of the Prince,unknown,Route shares rap hangers with Wild Iowa.,"2nd route from the left, right of Wild Iowa.","2 bolts, rap hangers(same as Wild Iowa).",5.11b,Wild Iowa Wall,1,106087196,106087032,-91.10185,42.20952
c7bc7ae0-3ecb-4ba4-949a-cea46967f12f,Hungry to Do,unknown,"Make the clip on the second bolt, breathe and finish it.","Third from the right. Left of Virgin, crack and cave to the left.","4 bolts, rap hangers",5.11c,Wild Iowa Wall,8,106087048,106087032,-91.10185,42.20952
2e49002d-7c90-4e70-af4e-bf4c953e855c,Hot Tamale,unknown,"Bouldery start on polished holds, pull a bulge and jugs to the top, pumpy.","Right of Bird in hand, first route left of Gotz Crack.","4 bolts(3 of which are spinners), rap hangers",5.10c,Wild Iowa Wall,5,106087173,106087032,-91.10185,42.20952
d52b5098-c931-47c5-a4c8-aeddb42f31b4,Gotz Crack,unknown,Obvious crack that splits the face of Wild Iowa Wall. Sees little traffic.,"The crack coming from the cave between Hot Tomale on  the left, and Hungry on the right.","Gear, If top roping, there are trees on top for anchor, or climb Hungry or Hot Tamale and use their anchors to top rope.",5.10b,Wild Iowa Wall,6,106087166,106087032,-91.10185,42.20952
6f0538b4-3207-459c-810b-0963cb91a100,Crack to the right of Atropine,Probaby Matthew Wendling.,Crack has some hand jams and each side has pockets and edges for easy hand and foot holds.  The ledge you take exiting the crack can be muddy.  There is little protection until you get from there to the tree.,,Cams 3/4 - 3.,5.6,Wild Iowa Wall,11,108824375,106087032,-91.10185,42.20952
3e0651e1-a947-4f55-99cc-14885e23621a,Bird in Hand,unknown,"One of the more popular climbs on Wild Iowa Wall, steep pocket pulling!",5th route from the left. From Gotz Crack second route to the right. Look for a good sized jug that has been epoxied back on.,3 bolts to rap hangers (the left hanger is a spinner),5.11b,Wild Iowa Wall,4,106087180,106087032,-91.10185,42.20952
3991c680-fd71-4801-a7f1-5a2b4e4885ea,Atropine,unknown,,route farthest to the right.,3 bolts to cold shuts,5.10a,Wild Iowa Wall,10,106087035,106087032,-91.10185,42.20952
31ef4b18-24b0-4657-b9f8-735f9b7a727f,Hollywood on a Buck O' Five,unknown,"Around the corner is a lone vertical to slightly overhanging route. Climb the chossy bottom section to a ledge, past this the climbing is very high quality. May be the best 5.9 at Pictured.",Around the corner from the main wall.,"bolts, anchors.",5.9,Windy Point,6,106088409,106087984,-91.09831,42.21813
c7353d22-f4ad-4b48-8bbc-8ba9c574a46a,Fat Chicks on Pogo Sticks,unknown,Sharp and dirty.,To the right of Datura.,"4 bolts, rap hangers.",5.12b,Windy Point,3,106088380,106087984,-91.09831,42.21813
07a253bf-5b6f-48eb-ba1b-d7a8a8cab0d1,The Dispossessed,unknown,"The first 20 feet are the crux. Top out on a ledge. Route goes vertical to slab, clipping the 3rd bolt can be a little hairy.","To the right of the main wall, Only bolted line on the face.","4 Bolts, Fixe anchors - There is a crack at the ledge that will take a tricam.",5.9,Windy Point,7,106088405,106087984,-91.09831,42.21813
39712a17-91ac-4fee-b618-7660414900ee,Datura,unknown,"A few weird moves, some hidden holds. At least one poorly placed bolt.",left most route.,"bolts, anchors.",5.10d,Windy Point,0,106088375,106087984,-91.09831,42.21813
974307bf-311d-42e8-bc63-7ec99564e732,Caught in the Crotch Fire,unknown,Link-up of Monkey Spank and Lesbian.,Unsure of how this starts.,"bolts, anchors.",5.11d,Windy Point,2,106088395,106087984,-91.09831,42.21813
e235c4f5-b388-4a62-bb78-dc4149617794,Border Town Donkey Show,unknown,"Climbs up the arete. This route has seen more traffic as of fall of '07 possibly reducing the amount of loose rock.  More recently, Joe Stark and Troy Davidson have done some scaling work over the winter with the approval of the land managers to remove the dangerous choss (ie, loose rock) so that it is now a safe and worthwhile climb.",To the right of Lesbian Knife Fight.,7 bolts to a pair of rap rings.,5.11a,Windy Point,5,106088400,106087984,-91.09831,42.21813
e6611478-8bc0-4f21-8632-269b3826efdf,Tarzan,unknown,"Easy climbing on good holds, the crux is between the  third and fourth bolts requiring the climber to reach on not so good holds, great climb for the beginning leader or top roper.","First Climb you will see on Shiprock, farthest left of the three.","5 bolts, rap hangers.",5.7,Shiprock,0,106087950,106087947,-91.10261,42.21218
46a91c36-64ad-4899-a3d0-f4cdc2cd2c45,Unknown V3-4,"Unknown, possibly me?",,"Middle of the ""Razorblade Boulder""",Crashpad,V3-4,Razorblade Boulder,0,108379109,106087210,-91.10151,42.2103
18b087ec-d380-4237-a7c8-ff6385ba95d4,Temple of Doom,unknown,Climb up and right on hand and fist jams to a dihedral.  Move up the dihedral to a ledge.  Climb left up a thin crack to a sketchy top out.,Just South of And Then She Fell.,SR,5.9,Backbone East,999999,106957914,106956366,-91.5625,42.614
b3fff09a-ba8b-4ff1-8f9a-0662717156de,Dirty Lid,unknown,Dirty lid it the usually dirty crack about halfway between Schoolio and the cave. Can be lead on gear but remember this is Iowa limestone. Can also be TR'ed off a tree. The main crack starts about 25 feet off the deck.,Obvious crack on the left about halfway between the Comic Gallery and the cave.,Tri-cams are useful.,5.7,Ice Cave Wall,1,106580141,106087932,-91.10246,42.21159
a004b771-5937-4cf0-87cc-4e6792984071,Whipper Snapper,unknown,Named because of a fall taken by Evan Fales.,right most route.,"bolts, rap hangers.",5.8,Mild Iowa Wall,3,106087222,106087218,-91.10196,42.2102
e35d127d-4ddb-4214-ba92-8cebaf10119f,Space Critters,unknown,"This is a trad lead protected with Aliens (hence the name). It starts slightly left of a plumb line from the left-hand Jugular anchor and takes more or less a direct line to the anchors on Jugular. For those not into trad leads, it can be top-roped from the Jugular anchors for a little extra fun after doing that route.",,A selection of Aliens (tri-cams might also work well in some of the placements). Bolt anchors at the top.,5.7+,Mild Iowa Wall,0,106395423,106087218,-91.10196,42.2102
7fabdec9-8353-420e-b4a8-49ba3e949d18,Mild Iowa,unknown,Easiest route by the general assumption.,Middle route.,"bolts, rap hangers.",5.8,Mild Iowa Wall,2,106087226,106087218,-91.10196,42.2102
bd5b1b2c-da93-4426-a597-a2a3ce82dc18,Schoolio,unknown,"Loved or hated, Schoolio climbs the right corner of the Comic Gallery/Ice Cave Wall.","If Facing the Comic Gallery, it is the route on the right side corner.","5 bolts, rap hangers.",5.9,Ice Cave Wall,0,106087935,106087932,-91.10246,42.21159
6c3abbc7-1e97-417c-93cc-646171e6e104,Jugular,Matt Wendling and Chrys Mitchell,Steepest of the three.,farthest left route.,"bolts, rap hangers.",5.8,Mild Iowa Wall,1,106087230,106087218,-91.10196,42.2102
093c9700-59cb-4504-90c9-c8ca9393800d,Angst,unknown,"Climbs a short vertical section, runs out on a slab to the anchors.","From the Ice Cave go up and around on the right side, only bolted line.","4 bolts, rap hangers.",5.9,Ice Cave Wall,2,106087941,106087932,-91.10246,42.21159
5f7fbb74-3b37-4124-b7f6-8f6f9ef48b23,Fresh Blood,Alan Grau,Climb a slab to a short roof with good holds.  A big move to a huge jug is required to move past the roof.  A few more moves brings you to the anchors.,This is the left hand route.,Six bolts to fixed steel cleaning biners. Please DO NOT use the fixed biners for toptoping,5.10d,Primal Wall,0,110356644,110353745,-91.10433,42.20825
fe6667c9-bf25-48e4-99a2-39ce5a951fa1,Echoes of Savages,Joe Stark,Big holds on pretty bomber stone.  Slab to a ledge then pull a slight belly before tackling the upper headwall. Climbs right of the bolt line.,This is the right hand line.,Five bolts to fixed steel cleaning biners. Please DO NOT use the fixed biners for toproping. 👍,5.7+,Primal Wall,1,110353750,110353745,-91.10433,42.20825
a2d87907-df8f-47e0-9c96-ff41005d61d8,Slimer,unknown,Climb the dihedral chimney.  The climb earns its name.,20 feet left of Glenoid's.,Big gear and slings.,Easy 5th,Backbone East,999999,106957932,106956366,-91.5625,42.614
8ffb4561-eb37-4ecf-930e-d9df3129739e,Herniated Disk,unknown,Hand to Fist size Crack widens to off-width with a tricky top out.,Northern most crack.,SR,5.7,Backbone East,999999,106957884,106956366,-91.5625,42.614
a1b33038-d8fd-4c62-8f9b-a4b66b69e9da,Glenoid's Labrum,unknown,Climb the face aiming for the small tree on ledge.  Continue up pockets to top.,Face left of Temple of Doom.,Build a top rope anchor on trees above.,5.8,Backbone East,999999,106957926,106956366,-91.5625,42.614
bcec86c4-5a83-45a7-b63c-660f6dce7809,Feces Mammalius,unknown,Climb the jam crack 35 feet to a ledge.  Bush whack to the top.,Crack left of Slimer.,SR,5.8,Backbone East,999999,106957937,106956366,-91.5625,42.614
b8795c63-ef6a-48a2-95c9-758bbec2f333,Feces Face,unknown,Face climb left of Feces Mammalius.,,Build a TR anchor from trees above.,Easy 5th,Backbone East,999999,106957942,106956366,-91.5625,42.614
78413a1d-24df-4a3f-9fe1-452ea722460b,Fat Man's Crack,unknown,Body jam your way up to a large chock stone.  Move deeper into the flake and squeeze through the top to easy but slick climbing above.,Large Flake 20 yards to the left of Herniated Disk.,"Big Bros, We led it on a #2 C4 just below the squeeze.",5.6,Backbone East,999999,106957909,106956366,-91.5625,42.614
8f42d53b-3f52-41b9-b6ed-477d6396fc82,Compound Fracture,unknown,Face climb to the right of Herniated Disk.  Northern most climb.,Take the Backbone Trail South a short distance to a set of stairs on the East side of the trail.  Head down stairs and hike South along the cliff to the first crack.  This climb is on the face to the right.,Build a top rope anchor on trees above.,5.9,Backbone East,999999,106957875,106956366,-91.5625,42.614
ee2d3423-0435-44ad-84b2-5463de4f1107,Cole's Calamity,unknown,Climb the chimney moving deeper as you ascend.,Left of Temple of Doom,"SR, #5 C4",5.7,Backbone East,999999,106957920,106956366,-91.5625,42.614
4a6db838-f363-425f-9f5c-06e906e37c01,And Then She Fell,unknown,Climb the face to the crux overhang.,Just left of Herniated Disk,Build a TR anchor of of trees and rock outcrop above.,5.10b,Backbone East,999999,106957905,106956366,-91.5625,42.614
9b1f203e-8053-48d3-9b8a-70db7293da4a,Side to Side,unknown,,,A pad or two.,V2-3,Razorblade Boulder,1,109664320,106087210,-91.10151,42.2103
9458a214-729a-4468-b5b3-5d0545492934,Social Distance,"Jake DeVolder, Rick Doolittle",Tallest trad route at PR! The crux is about 20ft off the ground. Great start following thinner crack. Pull over top of a ledge about 30ft up. Continue to follow crack left. Pull over short/ small overhang on great jugs. Follow crack to top on fun 5.6 climbing.,"Located on Shiprock. The route is to the right of ""Over The Counter""",single rack: .3-#6. Alpine draws for rope drag. Set up top rope off trees.,5.8,Shiprock,3,118734603,106087947,-91.10261,42.21218
387e12ce-57fc-4b4a-91eb-ea52c01e934c,Silk Road,unknown,"First bolt is a bit high, easy climbing up to it. A few tricky moves getting up to the main face. For the most part good pockets on a mostly vertical face, a few bulges.","From Tarzan go down and to the right. Facing the wall this is the left route. First route to the right of Tarzan, to the left of Over the Counter.","7-8 bolts, rap hangers",5.10b,Shiprock,1,106087960,106087947,-91.10261,42.21218
5a1e159f-b8d0-4708-98b0-b4bb79a091cf,Over The Counter,unknown,"The crux is between the first and second bolt, one tricky move. Butt bombs onto rocks/tree roots are possible. After the second bolt, great cruising on jugs. When you get to the big hueco stay to the right of it.",To the right of Somn Somn.,"8 bolts, rap hangers.",5.9,Shiprock,2,106087965,106087947,-91.10261,42.21218
c38fbc85-480b-436a-844b-40f394326af6,No Gumbies Allowed,unknown,No info available.,Left of Gumby Deranged.,"4 bolts, double set of ring anchors.",5.11d,Gumby Wall,2,106088434,106088413,-91.1026,42.20821
e0450796-a548-46d8-8bd1-0cf3ad026aac,Winged Messenger,unknown,It will probably be a little dirty. Lots of crimps and sloping holds.,,"4 bolts, rap hangers w/ quicklinks.",5.10c,Flying Buttress,1,106087975,106087972,-91.10265,42.2128
d4c51d3a-fe44-4e60-9e93-22665044b82f,Son of Jor-El,Troy Davison - equipped by Joe Stark,Scramble up past the smaller cave on the right to start. Steep route with big moves to good holds. Sustained.,Second route from the right.,six bolts to fixed biners,5.11a/b,Chicago Wall,3,111711418,106087019,-91.10475,42.2068
498f9424-0ee9-416a-9810-a0447ecce66a,Kum and Go,unknown,some really good powerful pulling with a bit of choss at the bottom. A nice dyno move at the top protects the anchors,route on the left,"bolts, anchors",5.12a,Chicago Wall,1,106087026,106087019,-91.10475,42.2068
cefea5b6-f15d-4679-826f-c6b698616d57,Moon Jelly,M. Black,"Start as far back in the overhang section as possible.  Usually the furthest back is seeping with water.  Bring some Chalk to dry out a key thin rail that tends to be moist.  Work a cruxy, possibly inverted, sequence to climb out of the over hang onto nice jugs and Top out.  Until the top of the boulder is cleaned up a bit more you climb right back down to your pad for a descent.",This climb starts under the obvious overhanging end of the boulder.,Crash pads,V3,Cam Boulder,0,114525504,114524966,-91.10034,42.21733
dbda3b59-882c-425b-a8e7-b82c2d34e1e0,Henpecked,unknown,Sit start with feet under boulder.  There is another smaller part of the over hang right of Moon Jelly top out. Start on a left hand 2-3 finger pocket with a right hand 1-2 finger pocket.  Nice little 3-4 move problem. Top out is mossy on sharp rock. Down climb to climbers left where moon jelly tops out.,,1 crash pad.,V0-1,Cam Boulder,1,119056348,114524966,-91.10034,42.21733
66fff2bc-d9f2-4e37-93d8-18606fc354f4,Kneel Before Zod,"Nate Slaughter, Alberto Lacayo III - equipped by Joe Stark",Starts from the ground. Steer clear of the large vine and make your way up vertical terrain to a large belly. Have fun pulling past this one then skate the slab to the anchors.,Right-most route on the Chicago wall.,Eight bolts to fixed biners,5.11a,Chicago Wall,4,111711440,106087019,-91.10475,42.2068
babd1b50-8197-4a42-a6db-6b8f60c61474,Empty Pockets,unknown,one funky move with hidden holds,route on the right,"bolts, anchors",5.11c,Chicago Wall,2,106087022,106087019,-91.10475,42.2068
0478ee3d-af12-4278-bdd0-9c05f3c25728,Chicago Business Trip,Troy Davison - equipped by Alan Grau,"Good holds through slightly overhanging terrain to a long, steep move at the anchors.",The left-most route on the Chicago wall.,six bolts to fixed biners,5.11a,Chicago Wall,0,111711370,106087019,-91.10475,42.2068
17c3fd23-78cb-4a50-a9df-bd978ef0b09b,Three Strikes No Balls,unknown,Fun climb with good pockets past a few overhanging bulges.,To the right of Julie's Kiss. This climbs the center line of bolts on the belay ledge.,"7 bolts, rap hangers.",5.10a,Comic Gallery,2,106087912,106087597,-91.10186,42.21069
224d8f65-6c1d-44d2-a529-611ba7d9dd97,Tazmanian Devil,unknown,"Short and pumpy, big ledges and jugs.","Back wall of the Comic Gallery, to the left of the cave. Only bolted line on the back wall.","4 bolts, bolted anchor with rap rings.",5.10d,Comic Gallery,8,106087601,106087597,-91.10186,42.21069
47ba12a4-1d31-4529-ab20-29f4257682b5,Skeletor,unknown,"Overhung juggy, often dirty due to little traffic.","Right of He-Man, next route left of Taz.","5 bolts, chain anchors.",5.10a,Comic Gallery,7,106087608,106087597,-91.10186,42.21069
1fc4d14b-3313-4e3e-810d-e173468880be,Julie's Kiss,unknown,short easy section to a short roof and bulge.,"To the right of Super Fly, starts up on belay ledge. Climbs the left most route, shares first one or two bolts with Three Strikes.","bolts, rap hangers.",5.11c,Comic Gallery,1,106087906,106087597,-91.10186,42.21069
0184335a-c194-4749-a635-7c2022c03850,He Man,unknown,"Shares the first two bolts with Flash, then continues to the right of Flash to its own chains. One muddy pocket under the overhang.","Shares start with Flash, then moves right, Left of Skeletor.","4 bolts, chains.",5.11b,Comic Gallery,6,106087613,106087597,-91.10186,42.21069
c91e94ae-7275-43b5-aaab-325d0c505126,Flash,unknown,Climbs the big overhanging bulge the whole way up. Super Classic jug haul.,"Shares first two bolts with He Man, To the right of The Buddha. climbs the overhang on the left side of the Comic Gallery.","6 bolts, hangers. Last bolt before face is a spinner.",5.11b,Comic Gallery,5,106087618,106087597,-91.10186,42.21069
28a38922-5905-45f1-8040-ac8a6494875c,"Exquze me, do you have any Grey Poupon?",unknown,"Tends to have more sloppy pockets then Three Strikes, grade may not be as consistent through the whole route.","From the belay ledge, this takes the route on the far right, to the right of Three Strikes.","5 bolts, rap hangers.",5.10a,Comic Gallery,3,106087921,106087597,-91.10186,42.21069
6fff9847-710a-45a2-8495-68737a68258d,The Buddha (aka Turn Me Loose),unknown,"A little overgrown from low traffic, slightly overhanging.","To the left of Flash, starts with the first three bolts of Flash, then moves to the left.","7 bolts (first three shared with Flash), Fixe anchors.",5.10b,Comic Gallery,4,106087926,106087597,-91.10186,42.21069
9224cfe8-3139-432a-93ca-6b08c47222ed,The Young and the Bold,unknown,slabby polished climb.,leftmost route.,"bolts, anchors",5.8,Collin's wall aka Parking lot wall,1,106087003,106086999,-91.1022,42.20906
4cbffb96-2426-49ad-9d59-f0023eefbfbf,Old and Decrepit,unknown,Good first lead. Usually dirty.,"Right of Collin's Crack. First bolt is up on a slab. If it is your first lead, will seem a lot higher then you want it.","3-4 bolts, anchors.",5.6,Collin's wall aka Parking lot wall,3,106087013,106086999,-91.1022,42.20906
1d0f4da8-1664-4ab5-b5b5-c4a8adee35b2,Left side route,unknown,Start left of young and the bold to the odd bolt up and to the left. work right to the Young's anchors.,,Bolts. Traverse below bulge to finish on Young and the Bold. Rather vegetated in the summer below bolt 1.,5.8+,Collin's wall aka Parking lot wall,0,106360437,106086999,-91.1022,42.20906
a58795cd-2a15-4a03-bd08-bdb73a4f27c6,Collin's Crack,unknown,The obvious left facing dihedral. Usually top roped.,center route,"gear for the crack(tricams, tcus, cams up to a #2 camalot)will take as much or as little as you put in it, one bolt, and anchors",5.6,Collin's wall aka Parking lot wall,2,106087008,106086999,-91.1022,42.20906
81eb9e59-2532-4ee4-99ea-b2af3741de18,Lost & Found,unknown,Goes up some very nice stone past a large flake before tackling a couple roofs then finishing on a slab.,This is the bolted route on the east side of Flying Buttress. Route is most easily accessed by the lower river trail as you hike past Ship Rock.,7 bolts to quicklinks,5.11a,Flying Buttress,0,111837403,106087972,-91.10265,42.2128
6066a69a-3b42-459a-89f9-561653be76f4,Gumby With a Gun,unknown,"Start up to a ledge and your first clip. Power through the first crux and into interesting, body tension type moves and two more clips. Rest, then decide on powering through a second crux or firing to a bucket of an exit hold. Enjoyable route.",Second route from the left on the wall.,"4 bolts, double ring hangers.",5.11d,Gumby Wall,1,106088430,106088413,-91.1026,42.20821
